title,company,location,salary,skills
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Rajula,Competitive stipend,"Field Engineer_DET - Apprentice Jio Rajula Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Computer skills Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment 3 weeks ago Be an early applicant"
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Rajula,Competitive stipend,"Rajula Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Computer skills Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment 3 weeks ago Be an early applicant"
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Balotra,Competitive stipend,"Field Engineer_DET - Apprentice Jio Balotra Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment Troubleshooting 3 weeks ago Be an early applicant"
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Balotra,Competitive stipend,"Balotra Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment Troubleshooting 3 weeks ago Be an early applicant"
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Amroha,Competitive stipend,"Field Engineer_DET - Apprentice Jio Amroha Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Computer skills Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment +1 more 3 weeks ago Be an early applicant"
Field Engineer_DET - Apprentice,"Field Engineer_DET - Apprentice 
 
 
 
 
                            Jio",Amroha,Competitive stipend,"Amroha Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Handle customer calls and provide resolutions in coordination with L2 Engineers. 2. Monitor network and service touchpoints within the assigned area through NOC systems. 3. Track dashboards and performance KPIs. 4. Raise alerts within the team for any threshold-crossing events. 5. Monitor trouble ticket alerts and address basic L1 issues. 6. Coordinate with the circle team for fibre, utility, and related concerns. 7. Ensure timely resolution of customer problems as per TAT and SLA guidelines. 8. Maintain MIS reports and conduct analysis to support troubleshooting and improve NOC operations. Computer skills Technical Analysis Microprocessor MIS Technical Support Customer Support Risk Assessment +1 more 3 weeks ago Be an early applicant"
Business Analyst,"Business Analyst 
 
 
 
 
                            Myntra",Bangalore,Competitive stipend,"Business Analyst Myntra Bangalore Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Extract, clean, and transform data from databases using SQL, Excel, and Python. 2. Conduct hands-on data operations using SQL, Excel (formulas, pivot tables), and Python with libraries such as Pandas, NumPy, and Matplotlib/Seaborn. 3. Create dashboards and reports in Excel and basic BI tools like Power BI or Tableau. 4. Perform routine ad-hoc analyses including cost vs. revenue trends, capacity planning, and ROI assessments. 5. Collaborate with cross-functional teams to gather business requirements and translate them into data-driven tasks. 6. Present insights clearly to managers and stakeholders to support decision-making. 7. Automate repetitive reporting tasks and develop reusable Python-based data pipelines. Python SQL MS-Excel Business Analysis Power BI Tableau Data Analysis +3 more 3 weeks ago Be an early applicant"
Business Analyst,"Business Analyst 
 
 
 
 
                            Myntra",Bangalore,Competitive stipend,"Bangalore Competitive stipend Not Provided Selected intern's day-to-day responsibilities: 1. Extract, clean, and transform data from databases using SQL, Excel, and Python. 2. Conduct hands-on data operations using SQL, Excel (formulas, pivot tables), and Python with libraries such as Pandas, NumPy, and Matplotlib/Seaborn. 3. Create dashboards and reports in Excel and basic BI tools like Power BI or Tableau. 4. Perform routine ad-hoc analyses including cost vs. revenue trends, capacity planning, and ROI assessments. 5. Collaborate with cross-functional teams to gather business requirements and translate them into data-driven tasks. 6. Present insights clearly to managers and stakeholders to support decision-making. 7. Automate repetitive reporting tasks and develop reusable Python-based data pipelines. Python SQL MS-Excel Business Analysis Power BI Tableau Data Analysis +3 more 3 weeks ago Be an early applicant"
Coordinator,"Coordinator 
 
 
 
 
                            Nixace Technologies",Mumbai,"₹ 5,000 /month","Coordinator Nixace Technologies Mumbai ₹ 5,000 /month 3 Months 1. Call and connect with leads generated through our digital marketing campaigns. 2. Understand their interest and explain our programs in a clear, student-friendly manner. 3. Maintain a relationship with students as their first point of contact. 4. Share updates with the operations/management team. 5. Ensure smooth communication and timely follow-ups. MS-PowerPoint Attention to Detail Time Management Decision making MS-Excel Interpersonal skills Effective Communication 3 weeks ago Be an early applicant"
Coordinator,"Coordinator 
 
 
 
 
                            Nixace Technologies",Mumbai,"₹ 5,000 /month","Mumbai ₹ 5,000 /month 3 Months 1. Call and connect with leads generated through our digital marketing campaigns. 2. Understand their interest and explain our programs in a clear, student-friendly manner. 3. Maintain a relationship with students as their first point of contact. 4. Share updates with the operations/management team. 5. Ensure smooth communication and timely follow-ups. MS-PowerPoint Attention to Detail Time Management Decision making MS-Excel Interpersonal skills Effective Communication 3 weeks ago Be an early applicant"
